chr	start	stop	name	-1xlog10(p-value)	xSqrd	-1xlog10(Right-Tail Probability)	-1xlog10(AdjustedP-value)
chr1	1136564	1137664	MSPC_Peak_20093	152	699.986	152	151.128
chr1	1137713	1138132	MSPC_Peak_20092	67	308.546	67	66.541
chr1	1142568	1142857	MSPC_Peak_20091	32	147.365	32	31.929
chr1	1162054	1162595	MSPC_Peak_20090	43	198.022	43	42.797
chr1	1162989	1163366	MSPC_Peak_20089	61	280.915	61	60.594
chr1	1164245	1165438	MSPC_Peak_20088	98	451.307	98	97.358
chr1	1165981	1166191	MSPC_Peak_20087	49	225.653	49	48.723
chr1	1166652	1167034	MSPC_Peak_20086	47	216.443	47	46.765
chr1	1169213	1170294	MSPC_Peak_20085	116.561	548.015	116.561	115.827
chr1	1170828	1171123	MSPC_Peak_20084	43	198.022	43	42.797
chr1	1171345	1172058	MSPC_Peak_20083	122.539	575.646	122.539	121.78
chr1	1173058	1174665	MSPC_Peak_20082	94	432.886	94	93.375
chr1	1176263	1176794	MSPC_Peak_20081	55	253.284	55	54.656
chr1	1177682	1178091	MSPC_Peak_20080	43	198.022	43	42.798
chr1	1178909	1179147	MSPC_Peak_20079	26	119.734	26	25.987
chr1	1200874	1201749	MSPC_Peak_20078	142	653.934	142	141.166
chr1	1205978	1208361	MSPC_Peak_20077	240.793	1132.872	240.793	239.665
chr1	1237428	1237770	MSPC_Peak_20076	61	280.915	61	60.594
chr1	1237855	1238132	MSPC_Peak_20075	30	138.155	30	29.962
chr1	1238323	1238648	MSPC_Peak_20074	46	211.838	46	45.774
chr1	1238933	1239155	MSPC_Peak_20073	22	101.314	22	21.998
chr1	1239248	1239723	MSPC_Peak_20072	100.623	474.333	100.623	99.971
chr1	1239804	1240421	MSPC_Peak_20071	32	147.365	32	31.929
chr1	1243600	1244027	MSPC_Peak_20070	43	198.022	43	42.798
chr1	1245501	1246762	MSPC_Peak_20069	158.43	741.432	158.43	157.536
chr1	1246965	1247436	MSPC_Peak_20068	75	345.388	75	74.492
chr1	1286389	1286703	MSPC_Peak_20067	43	198.022	43	42.798
chr1	1286810	1287087	MSPC_Peak_20066	38	174.996	38	37.861
chr1	1353094	1353556	MSPC_Peak_20065	85	391.439	85	84.433
chr1	1353803	1355826	MSPC_Peak_20064	203.323	948.665	203.323	202.293
chr1	1356202	1356540	MSPC_Peak_20063	49	225.653	49	48.723
chr1	1356724	1357151	MSPC_Peak_20062	47	216.443	47	46.765
chr1	1358050	1358900	MSPC_Peak_20061	55	253.284	55	54.656
chr1	1434716	1435000	MSPC_Peak_20060	30	138.155	30	29.962
chr1	1589644	1590021	MSPC_Peak_20059	49	225.653	49	48.724
chr1	1597994	1598401	MSPC_Peak_20058	74	340.783	74	73.497
chr1	1599170	1599703	MSPC_Peak_20057	54	248.679	54	53.686
chr1	1600317	1601291	MSPC_Peak_20056	120.546	566.436	120.546	119.8
chr1	1630282	1632086	MSPC_Peak_20055	104	478.938	104	103.328
chr1	1965628	1966324	MSPC_Peak_20054	61	280.915	61	60.594
chr1	1974785	1975156	MSPC_Peak_20053	31	142.76	31	30.955
chr1	1988304	1988586	MSPC_Peak_20052	49	225.653	49	48.724
chr1	2001624	2002147	MSPC_Peak_20051	85	391.439	85	84.433
chr1	2002390	2002678	MSPC_Peak_20050	90	414.465	90	89.402
chr1	2003152	2004234	MSPC_Peak_20049	233.264	1086.82	233.264	232.154
chr1	2013493	2013770	MSPC_Peak_20048	32	147.365	32	31.93
chr1	2017610	2017888	MSPC_Peak_20047	27	124.34	27	26.974
chr1	2018172	2018479	MSPC_Peak_20046	23	105.919	23	22.994
chr1	2018519	2019185	MSPC_Peak_20045	80	368.414	80	79.456
chr1	2019534	2021071	MSPC_Peak_20044	193.345	902.613	193.345	192.34
chr1	2021107	2021415	MSPC_Peak_20043	67	308.546	67	66.543
chr1	2021450	2022740	MSPC_Peak_20042	115	529.595	115	114.272
chr1	2022774	2023180	MSPC_Peak_20041	37	170.391	37	36.892
chr1	2023325	2023664	MSPC_Peak_20040	38	174.996	38	37.862
chr1	2044516	2044838	MSPC_Peak_20039	49	225.653	49	48.724
chr1	2047117	2047604	MSPC_Peak_20038	53	244.074	53	52.695
chr1	2048137	2048576	MSPC_Peak_20037	61	280.915	61	60.595
chr1	2049539	2050274	MSPC_Peak_20036	98	451.307	98	97.358
chr1	2050891	2051381	MSPC_Peak_20035	34	156.576	34	33.918
chr1	2415734	2416146	MSPC_Peak_20034	47	216.443	47	46.765
chr1	2416582	2416993	MSPC_Peak_20033	47	216.443	47	46.765
chr1	2417028	2417954	MSPC_Peak_20032	49	225.653	49	48.724
chr1	2418690	2419376	MSPC_Peak_20031	104.607	492.753	104.607	103.932
chr1	2419889	2420311	MSPC_Peak_20030	67	308.546	67	66.543
chr1	2426769	2427131	MSPC_Peak_20029	43	198.022	43	42.799
chr1	2430131	2430333	MSPC_Peak_20028	55	253.284	55	54.657
chr1	2430605	2430951	MSPC_Peak_20027	38	174.996	38	37.862
chr1	2432340	2432683	MSPC_Peak_20026	38	174.996	38	37.862
chr1	2433107	2433410	MSPC_Peak_20025	61	280.915	61	60.595
chr1	2434443	2434791	MSPC_Peak_20024	32	147.365	32	31.93
chr1	2441654	2443522	MSPC_Peak_20023	67	308.546	67	66.543
chr1	2443962	2445288	MSPC_Peak_20022	67	308.546	67	66.543
chr1	2450952	2451168	MSPC_Peak_20021	57	262.495	57	56.645
chr1	2451311	2451882	MSPC_Peak_20020	38	174.996	38	37.862
chr1	2453110	2453726	MSPC_Peak_20019	61.829	294.731	61.829	61.421
chr1	2463072	2464186	MSPC_Peak_20018	101.619	478.938	101.619	100.955
chr1	2464236	2464536	MSPC_Peak_20017	38	174.996	38	37.862
chr1	2466131	2468224	MSPC_Peak_20016	94	432.886	94	93.376
chr1	2498728	2499076	MSPC_Peak_20015	38	174.996	38	37.862
chr1	2499149	2499451	MSPC_Peak_20014	32	147.365	32	31.93
chr1	2499773	2500067	MSPC_Peak_20013	43	198.022	43	42.799
chr1	2500981	2501517	MSPC_Peak_20012	61	280.915	61	60.595
chr1	2502056	2502675	MSPC_Peak_20011	61	280.915	61	60.595
chr1	2502918	2503959	MSPC_Peak_20010	87	400.65	87	86.413
chr1	2504034	2504644	MSPC_Peak_20009	87	400.65	87	86.413
chr1	2540350	2540765	MSPC_Peak_20008	59	271.705	59	58.632
chr1	2540964	2541297	MSPC_Peak_20007	61	280.915	61	60.595
chr1	2611086	2611420	MSPC_Peak_20006	37	170.391	37	36.892
chr1	2625053	2625434	MSPC_Peak_20005	43	198.022	43	42.799
chr1	2625972	2626712	MSPC_Peak_20004	87	400.65	87	86.413
chr1	2627026	2629617	MSPC_Peak_20003	0	1478.26	0	0
chr1	2629702	2630282	MSPC_Peak_20002	43	198.022	43	42.799
chr1	2631687	2631972	MSPC_Peak_20001	55	253.284	55	54.657
chr1	2632592	2633002	MSPC_Peak_20000	43	198.022	43	42.799
chr1	2633145	2634297	MSPC_Peak_19999	80	368.414	80	79.456
chr1	2653001	2653363	MSPC_Peak_19998	66	303.941	66	65.565
chr1	2654202	2654479	MSPC_Peak_19997	44	202.627	44	43.787
chr1	2654590	2654907	MSPC_Peak_19996	73	336.177	73	72.513
chr1	2786030	2786706	MSPC_Peak_19995	101	465.122	101	100.339
chr1	2787334	2787612	MSPC_Peak_19994	39	179.602	39	38.856
chr1	2787715	2788076	MSPC_Peak_19993	49	225.653	49	48.725
chr1	2788307	2789263	MSPC_Peak_19992	101	465.122	101	100.339
chr1	2789386	2789939	MSPC_Peak_19991	130.513	612.488	130.513	129.72
chr1	2789995	2790942	MSPC_Peak_19990	146.463	686.17	146.463	145.611
chr1	2791033	2791825	MSPC_Peak_19989	113.572	534.2	113.572	112.855
chr1	2801425	2802172	MSPC_Peak_19988	55	253.284	55	54.657
chr1	2805146	2805434	MSPC_Peak_19987	38	174.996	38	37.862
chr1	2822323	2822640	MSPC_Peak_19986	55	253.284	55	54.657
chr1	2848136	2848574	MSPC_Peak_19985	55	253.284	55	54.657
chr1	2854083	2854495	MSPC_Peak_19984	38	174.996	38	37.862
chr1	2856028	2856244	MSPC_Peak_19983	31	142.76	31	30.955
chr1	2863252	2863799	MSPC_Peak_19982	32	147.365	32	31.93
chr1	3014038	3014315	MSPC_Peak_19981	32	147.365	32	31.93
chr1	3062991	3063697	MSPC_Peak_19980	87	400.65	87	86.413
chr1	3063741	3064154	MSPC_Peak_19979	67	308.546	67	66.543
chr1	3064899	3065432	MSPC_Peak_19978	43	198.022	43	42.799
chr1	3065889	3066237	MSPC_Peak_19977	43	198.022	43	42.799
chr1	3067422	3067759	MSPC_Peak_19976	32	147.365	32	31.931
chr1	3067896	3068505	MSPC_Peak_19975	44	202.627	44	43.787
chr1	3070870	3071161	MSPC_Peak_19974	49	225.653	49	48.725
chr1	3072451	3072911	MSPC_Peak_19973	49	225.653	49	48.725
chr1	3333976	3334253	MSPC_Peak_19972	27	124.34	27	26.974
chr1	3393760	3394037	MSPC_Peak_19971	23	105.919	23	22.994
chr1	3441953	3442340	MSPC_Peak_19970	38	174.996	38	37.862
chr1	3453326	3453680	MSPC_Peak_19969	80	368.414	80	79.456
chr1	3564930	3565241	MSPC_Peak_19968	38	174.996	38	37.863
chr1	3609863	3611594	MSPC_Peak_19967	137	630.908	137	136.182
chr1	3611897	3612102	MSPC_Peak_19966	38	174.996	38	37.863
chr1	3650439	3653457	MSPC_Peak_19965	0	2307.19	0	0
chr1	3653542	3653948	MSPC_Peak_19964	43	198.022	43	42.8
chr1	3653997	3654274	MSPC_Peak_19963	31	142.76	31	30.955
chr1	3684176	3684453	MSPC_Peak_19962	43	198.022	43	42.8
chr1	3702873	3703158	MSPC_Peak_19961	38	174.996	38	37.863
chr1	3707663	3708360	MSPC_Peak_19960	55	253.284	55	54.657
chr1	3708394	3709627	MSPC_Peak_19959	80	368.414	80	79.456
chr1	3710687	3710964	MSPC_Peak_19958	23	105.919	23	22.994
chr1	3754073	3754644	MSPC_Peak_19957	48	221.048	48	47.755
chr1	3911047	3911524	MSPC_Peak_19956	123.536	580.251	123.536	122.774
chr1	3955464	3955984	MSPC_Peak_19955	55	253.284	55	54.658
chr1	4032651	4032848	MSPC_Peak_19954	37	170.391	37	36.892
chr1	4033287	4033621	MSPC_Peak_19953	32	147.365	32	31.931
chr1	4033915	4034283	MSPC_Peak_19952	38	174.996	38	37.863
chr1	4102000	4102366	MSPC_Peak_19951	32	147.365	32	31.931
chr1	4166970	4167167	MSPC_Peak_19950	29	133.55	29	28.967
chr1	4275225	4275830	MSPC_Peak_19949	44	202.627	44	43.787
chr1	4582213	4582410	MSPC_Peak_19948	47	216.443	47	46.765
chr1	4584460	4584799	MSPC_Peak_19947	27	124.34	27	26.974
chr1	4585227	4585607	MSPC_Peak_19946	23	105.919	23	22.994
chr1	4601619	4601816	MSPC_Peak_19945	38	174.996	38	37.863
chr1	4622438	4622685	MSPC_Peak_19944	34	156.576	34	33.918
chr1	4652813	4654554	MSPC_Peak_19943	140	644.724	140	139.173
chr1	4655942	4656372	MSPC_Peak_19942	108	497.358	108	107.306
chr1	4656574	4656989	MSPC_Peak_19941	112.575	529.595	112.575	111.863
chr1	4657276	4657704	MSPC_Peak_19940	61	280.915	61	60.596
chr1	4657967	4658456	MSPC_Peak_19939	61	280.915	61	60.596
chr1	4658593	4659167	MSPC_Peak_19938	127.522	598.672	127.522	126.745
chr1	4660145	4660453	MSPC_Peak_19937	36	165.786	36	35.903
chr1	4663417	4663616	MSPC_Peak_19936	32	147.365	32	31.931
chr1	4680343	4680612	MSPC_Peak_19935	55	253.284	55	54.658
chr1	4695412	4695686	MSPC_Peak_19934	50	230.259	50	49.716
chr1	4710482	4710794	MSPC_Peak_19933	36	165.786	36	35.903
chr1	4711763	4712286	MSPC_Peak_19932	67	308.546	67	66.544
chr1	4755759	4755956	MSPC_Peak_19931	24	110.524	24	23.993
chr1	4805492	4805769	MSPC_Peak_19930	27	124.34	27	26.974
chr1	5022278	5022566	MSPC_Peak_19929	32	147.365	32	31.931
chr1	5327555	5327756	MSPC_Peak_19928	26	119.734	26	25.987
chr1	5424530	5424811	MSPC_Peak_19927	49	225.653	49	48.726
chr1	5434973	5435180	MSPC_Peak_19926	36	165.786	36	35.903
chr1	5454284	5454607	MSPC_Peak_19925	30	138.155	30	29.962
chr1	5455579	5455977	MSPC_Peak_19924	49	225.653	49	48.726
chr1	5470748	5470945	MSPC_Peak_19923	36	165.786	36	35.903
chr1	5503901	5504245	MSPC_Peak_19922	31	142.76	31	30.955
chr1	5506243	5506604	MSPC_Peak_19921	23	105.919	23	22.994
chr1	5526864	5527266	MSPC_Peak_19920	55	253.284	55	54.658
chr1	5612048	5612359	MSPC_Peak_19919	36	165.786	36	35.903
chr1	5613360	5613642	MSPC_Peak_19918	38	174.996	38	37.863
chr1	5734840	5735159	MSPC_Peak_19917	49	225.653	49	48.726
chr1	5765923	5766223	MSPC_Peak_19916	43	198.022	43	42.8
chr1	5766255	5766653	MSPC_Peak_19915	32	147.365	32	31.931
chr1	5767996	5768209	MSPC_Peak_19914	40	184.207	40	39.847
chr1	5811592	5812038	MSPC_Peak_19913	32	147.365	32	31.931
chr1	5830911	5831569	MSPC_Peak_19912	100.623	474.333	100.623	99.972
chr1	6104560	6104875	MSPC_Peak_19911	27	124.34	27	26.974
chr1	6147135	6148034	MSPC_Peak_19910	49	225.653	49	48.726
chr1	6148188	6148515	MSPC_Peak_19909	36	165.786	36	35.903
chr1	6148979	6149333	MSPC_Peak_19908	36	165.786	36	35.903
chr1	6176326	6176536	MSPC_Peak_19907	40	184.207	40	39.847
chr1	6177362	6179614	MSPC_Peak_19906	231.826	1091.425	231.826	230.719
chr1	6180076	6180472	MSPC_Peak_19905	71	326.967	71	70.524
chr1	6180678	6181310	MSPC_Peak_19904	70	322.362	70	69.528
chr1	6240158	6240849	MSPC_Peak_19903	61	280.915	61	60.596
chr1	6240960	6244424	MSPC_Peak_19902	301.22	1422.998	301.22	299.948
chr1	6244471	6245060	MSPC_Peak_19901	135.497	635.513	135.497	134.687
chr1	6245290	6246923	MSPC_Peak_19900	0	1579.573	0	0
chr1	6249020	6249468	MSPC_Peak_19899	74	340.783	74	73.498
chr1	6249852	6250409	MSPC_Peak_19898	111.579	524.989	111.579	110.874
chr1	6250774	6251025	MSPC_Peak_19897	53	244.074	53	52.695
chr1	6260028	6260325	MSPC_Peak_19896	32	147.365	32	31.931
chr1	6261420	6262357	MSPC_Peak_19895	74	340.783	74	73.498
chr1	6414426	6414733	MSPC_Peak_19894	44	202.627	44	43.787
chr1	6415006	6415637	MSPC_Peak_19893	49	225.653	49	48.726
chr1	6415698	6416496	MSPC_Peak_19892	61	280.915	61	60.596
chr1	6416540	6417251	MSPC_Peak_19891	67	308.546	67	66.544
chr1	6417514	6421351	MSPC_Peak_19890	0	1860.489	0	0
chr1	6421483	6422299	MSPC_Peak_19889	108	497.358	108	107.306
chr1	6423139	6426794	MSPC_Peak_19888	294.164	1367.736	294.164	292.904
chr1	6426977	6427596	MSPC_Peak_19887	61	280.915	61	60.596
chr1	6439937	6441685	MSPC_Peak_19886	115	529.595	115	114.273
chr1	6447017	6447435	MSPC_Peak_19885	130.513	612.488	130.513	129.72
chr1	6447562	6448765	MSPC_Peak_19884	217	999.322	217	215.932
chr1	6448897	6450580	MSPC_Peak_19883	115	529.595	115	114.273
chr1	6450923	6452065	MSPC_Peak_19882	94	432.886	94	93.376
chr1	6452400	6452759	MSPC_Peak_19881	49	225.653	49	48.726
chr1	6453916	6454842	MSPC_Peak_19880	94	432.886	94	93.377
chr1	6455000	6455325	MSPC_Peak_19879	49	225.653	49	48.726
chr1	6455504	6456930	MSPC_Peak_19878	94	432.886	94	93.377
chr1	6459741	6461157	MSPC_Peak_19877	80	368.414	80	79.457
chr1	6486172	6486461	MSPC_Peak_19876	55	253.284	55	54.658
chr1	6963570	6963961	MSPC_Peak_19875	61	280.915	61	60.597
chr1	7886014	7886769	MSPC_Peak_19874	61	280.915	61	60.597
chr1	7887124	7887321	MSPC_Peak_19873	44	202.627	44	43.787
chr1	7936899	7937319	MSPC_Peak_19872	44	202.627	44	43.787
chr1	7938755	7939121	MSPC_Peak_19871	45	207.233	45	44.781
chr1	7939637	7940189	MSPC_Peak_19870	76	349.993	76	75.489
chr1	7940252	7940540	MSPC_Peak_19869	36	165.786	36	35.903
chr1	7940750	7941182	MSPC_Peak_19868	44	202.627	44	43.787
chr1	9182206	9182540	MSPC_Peak_19867	30	138.155	30	29.962
chr1	9182998	9183275	MSPC_Peak_19866	39	179.602	39	38.856
chr1	9197385	9197680	MSPC_Peak_19865	38	174.996	38	37.864
chr1	9198456	9198874	MSPC_Peak_19864	66	303.941	66	65.565
chr1	9200621	9201135	MSPC_Peak_19863	48	221.048	48	47.755
chr1	9202251	9203374	MSPC_Peak_19862	38	174.996	38	37.864
chr1	9625862	9626144	MSPC_Peak_19861	33	151.971	33	32.923
chr1	9650206	9650545	MSPC_Peak_19860	32	147.365	32	31.932
chr1	9650879	9653271	MSPC_Peak_19859	85	391.439	85	84.434
chr1	9997294	9997839	MSPC_Peak_19858	61	280.915	61	60.597
chr1	10834672	10834949	MSPC_Peak_19857	69	317.757	69	68.533
chr1	10835032	10835626	MSPC_Peak_19856	58	267.1	58	57.639
chr1	10866347	10867124	MSPC_Peak_19855	87	400.65	87	86.415
chr1	10884971	10885280	MSPC_Peak_19854	31	142.76	31	30.955
chr1	10888015	10888795	MSPC_Peak_19853	61	280.915	61	60.598
chr1	10888969	10889436	MSPC_Peak_19852	156.435	732.222	156.435	155.549
chr1	10889505	10890120	MSPC_Peak_19851	96.64	455.912	96.64	96.005
chr1	10894299	10894663	MSPC_Peak_19850	32	147.365	32	31.932
chr1	10905957	10906319	MSPC_Peak_19849	38	174.996	38	37.864
chr1	11319919	11320362	MSPC_Peak_19848	61	280.915	61	60.598
chr1	11337173	11337769	MSPC_Peak_19847	43	198.022	43	42.802
chr1	11338595	11339043	MSPC_Peak_19846	61	280.915	61	60.598
chr1	11339895	11340358	MSPC_Peak_19845	39	179.602	39	38.856
chr1	11340472	11340991	MSPC_Peak_19844	36	165.786	36	35.904
chr1	11344325	11344644	MSPC_Peak_19843	38	174.996	38	37.865
chr1	11355515	11356304	MSPC_Peak_19841	101	465.122	101	100.339
chr1	11357377	11357736	MSPC_Peak_19840	88.677	419.07	88.677	88.083
chr1	11358112	11358402	MSPC_Peak_19839	18	82.893	18	18
chr1	11418503	11418717	MSPC_Peak_19838	25	115.129	25	24.99
chr1	11454246	11454591	MSPC_Peak_19836	55	253.284	55	54.659
chr1	11459247	11459656	MSPC_Peak_19834	49	225.653	49	48.727
chr1	11478025	11478412	MSPC_Peak_19829	49	225.653	49	48.728
chr1	11478446	11481340	MSPC_Peak_19827	139.484	653.934	139.484	138.659
chr1	11490997	11491228	MSPC_Peak_19825	37	170.391	37	36.893
chr1	11500996	11501916	MSPC_Peak_19823	169.093	801.3	169.093	168.164
chr1	11555875	11556431	MSPC_Peak_19821	32	147.365	32	31.932
chr1	11556517	11556829	MSPC_Peak_19819	42	193.417	42	41.832
chr1	11557139	11557480	MSPC_Peak_19817	49	225.653	49	48.728
chr1	11559331	11559921	MSPC_Peak_19815	43	198.022	43	42.802
chr1	11559952	11560576	MSPC_Peak_19814	38	174.996	38	37.865
chr1	11570864	11571544	MSPC_Peak_19813	55	253.284	55	54.659
chr1	11594656	11594933	MSPC_Peak_19811	31	142.76	31	30.955
chr1	11614499	11614776	MSPC_Peak_19809	27	124.34	27	26.974
chr1	11648917	11649911	MSPC_Peak_19807	67	308.546	67	66.545
chr1	11649996	11650618	MSPC_Peak_19800	60	276.31	60	59.625
chr1	11688944	11689256	MSPC_Peak_19798	26	119.734	26	25.987
chr1	11689428	11693236	MSPC_Peak_19796	282.657	1326.289	282.657	281.424
chr1	11693503	11694110	MSPC_Peak_19794	67	308.546	67	66.545
chr1	11694454	11694746	MSPC_Peak_19792	32	147.365	32	31.932
chr1	11700676	11701787	MSPC_Peak_19791	93.654	442.096	93.654	93.038
chr1	11701967	11702263	MSPC_Peak_19790	29	133.55	29	28.967
chr1	11761390	11761681	MSPC_Peak_19789	43	198.022	43	42.802
chr1	11761757	11762120	MSPC_Peak_19787	83	382.229	83	82.443
chr1	11762220	11762506	MSPC_Peak_19785	38	174.996	38	37.865
chr1	11858255	11860164	MSPC_Peak_19783	87	400.65	87	86.415
chr1	11896578	11896890	MSPC_Peak_19781	38	174.996	38	37.865
chr1	11898261	11899367	MSPC_Peak_19775	207.315	967.086	207.315	206.275
chr1	12061509	12061712	MSPC_Peak_19773	43	198.022	43	42.802
chr1	12063060	12065013	MSPC_Peak_19771	291.63	1367.736	291.63	290.374
chr1	12065930	12066298	MSPC_Peak_19769	36	165.786	36	35.904
chr1	12066349	12066758	MSPC_Peak_19768	43	198.022	43	42.802
chr1	12066804	12067295	MSPC_Peak_19767	55	253.284	55	54.659
chr1	12167012	12167325	MSPC_Peak_19766	67	308.546	67	66.545
chr1	12684325	12684522	MSPC_Peak_19764	33	151.971	33	32.923
chr1	12735570	12735788	MSPC_Peak_19762	44	202.627	44	43.788
chr1	13513095	13513410	MSPC_Peak_19760	38	174.996	38	37.865
chr1	13888456	13888775	MSPC_Peak_19758	59	271.705	59	58.633
chr1	13892506	13893059	MSPC_Peak_19756	89.672	423.676	89.672	89.075
chr1	13893153	13893673	MSPC_Peak_19754	93	428.281	93	92.387
chr1	13893876	13894318	MSPC_Peak_19749	60	276.31	60	59.625
chr1	13894872	13895198	MSPC_Peak_19747	38	174.996	38	37.865
chr1	13930841	13931083	MSPC_Peak_19745	50	230.259	50	49.716
chr1	13966405	13966604	MSPC_Peak_19743	38	174.996	38	37.865
chr1	14097286	14097483	MSPC_Peak_19742	45	207.233	45	44.781
chr1	14551618	14551832	MSPC_Peak_19741	52	239.469	52	51.703
chr1	14598047	14600108	MSPC_Peak_19740	232.266	1082.215	232.266	231.159
chr1	14600347	14600602	MSPC_Peak_19738	41	188.812	41	40.84
chr1	14663947	14664282	MSPC_Peak_19736	67	308.546	67	66.546
chr1	14684173	14684450	MSPC_Peak_19734	32	147.365	32	31.933
chr1	14739984	14740254	MSPC_Peak_19732	36	165.786	36	35.904
chr1	14741009	14741371	MSPC_Peak_19730	43	198.022	43	42.802
chr1	15100613	15101037	MSPC_Peak_19725	60	276.31	60	59.625
chr1	15246442	15246719	MSPC_Peak_19723	37	170.391	37	36.893
chr1	15246775	15247866	MSPC_Peak_19721	89	409.86	89	88.405
chr1	15758883	15759202	MSPC_Peak_19719	58	267.1	58	57.639
chr1	16013294	16013659	MSPC_Peak_19717	43	198.022	43	42.802
chr1	16027224	16027548	MSPC_Peak_19716	61	280.915	61	60.599
chr1	16072946	16073455	MSPC_Peak_19715	60	276.31	60	59.625
chr1	16073773	16074160	MSPC_Peak_19714	49	225.653	49	48.728
chr1	16226725	16227551	MSPC_Peak_19713	101	465.122	101	100.34
chr1	16227708	16228255	MSPC_Peak_19712	42	193.417	42	41.832
chr1	16518214	16518543	MSPC_Peak_19710	59	271.705	59	58.633
chr1	16519480	16520188	MSPC_Peak_19708	49	225.653	49	48.728
chr1	16520284	16520980	MSPC_Peak_19706	101	465.122	101	100.34
chr1	16521023	16521367	MSPC_Peak_19701	48	221.048	48	47.756
chr1	16707741	16708031	MSPC_Peak_19699	74	340.783	74	73.498
chr1	16724256	16724592	MSPC_Peak_19697	42	193.417	42	41.832
chr1	16724712	16725408	MSPC_Peak_19696	84	386.834	84	83.44
chr1	16727371	16727833	MSPC_Peak_19694	57	262.495	57	56.645
chr1	16876068	16876633	MSPC_Peak_19692	43	198.022	43	42.803
chr1	16979901	16980214	MSPC_Peak_19689	52	239.469	52	51.703
chr1	16980467	16980868	MSPC_Peak_19688	67	308.546	67	66.546
chr1	17116019	17116740	MSPC_Peak_19687	43	198.022	43	42.803
chr1	17117340	17118412	MSPC_Peak_19686	181.036	856.562	181.036	180.071
chr1	17118417	17119673	MSPC_Peak_19685	138.487	649.329	138.487	137.664
chr1	17149261	17149710	MSPC_Peak_19683	124	571.041	124	123.237
chr1	17149783	17150326	MSPC_Peak_19677	128.519	603.277	128.519	127.739
chr1	17152570	17152852	MSPC_Peak_19675	51	234.864	51	50.71
chr1	17181897	17182184	MSPC_Peak_19673	49	225.653	49	48.729
chr1	17205018	17205295	MSPC_Peak_19671	43	198.022	43	42.803
chr1	17212511	17212863	MSPC_Peak_19670	43	198.022	43	42.803
chr1	17213827	17214104	MSPC_Peak_19668	41	188.812	41	40.84
chr1	17214533	17214842	MSPC_Peak_19666	62	285.521	62	61.589
chr1	17215525	17215828	MSPC_Peak_19664	61	280.915	61	60.599
chr1	17220538	17220813	MSPC_Peak_19663	68	313.152	68	67.537
chr1	17309954	17310597	MSPC_Peak_19662	38	174.996	38	37.865
chr1	17460206	17460624	MSPC_Peak_19660	49	225.653	49	48.729
