seqnames,start,end,width,strand,peak,feature,feature.ranges.start,feature.ranges.end,feature.ranges.width,feature.strand,distance,insideFeature,distanceToSite,description,index,diffpeak,logfc
7,19112384,19112784,401,*,X503,ENSG00000232821,19112474,19114271,1798,+,0,overlapStart,0,novel transcript,chr71911238419112784,2.02070978729679,-0.64007825572301
1,223992789,223993189,401,*,X585,ENSG00000272645,223951394,223992625,41232,-,163,upstream,163,general transcription factor IIi pseudogene 20 [Source:HGNC Symbol;Acc:HGNC:51732],chr1223992789223993189,3.43470116348041,-1.04853786212962
3,36991989,36992389,401,*,X621,ENSG00000076242,36993350,37050846,57497,+,960,upstream,960,mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127],chr33699198936992389,1.96773193231015,-0.361909289746335
15,41333418,41333818,401,*,X710,ENSG00000104147,41309273,41332591,23319,-,826,upstream,826,Opa interacting protein 5 [Source:HGNC Symbol;Acc:HGNC:20300],chr154133341841333818,2.7624285537749,-1.42296648753229
22,46150071,46150471,401,*,X839,ENSG00000186951,46150521,46243755,93235,+,49,upstream,49,peroxisome proliferator activated receptor alpha [Source:HGNC Symbol;Acc:HGNC:9232],chr224615007146150471,1.93922142653426,-0.5636584325638
12,123972604,123973004,401,*,X1003,ENSG00000119242,123918660,123972831,54172,-,0,overlapStart,0,coiled-coil domain containing 92 [Source:HGNC Symbol;Acc:HGNC:29563],chr12123972604123973004,2.95192633462404,-0.887900990029444
12,123972604,123973004,401,*,X1003,ENSG00000270095,123971457,123971714,258,-,889,upstream,889,novel transcript, sense intronic to CCDC92,chr12123972604123973004,2.95192633462404,-0.992002936671459
14,23320920,23321320,401,*,X1004,ENSG00000100836,23321457,23326163,4707,+,136,upstream,136,poly(A) binding protein nuclear 1 [Source:HGNC Symbol;Acc:HGNC:8565],chr142332092023321320,2.95192633462404,-0.265290679217171
18,63367080,63367480,401,*,X1076,ENSG00000267390,63367295,63381631,14337,+,0,overlapStart,0,KDSR divergent transcript [Source:HGNC Symbol;Acc:HGNC:55299],chr186336708063367480,1.91222246245828,-1.72039551089289
6,166998029,166998429,401,*,X1122,ENSG00000213066,166999317,167094789,95473,+,887,upstream,887,centrosomal protein 43 [Source:HGNC Symbol;Acc:HGNC:17012],chr6166998029166998429,2.38561447714448,-0.392255968173512
5,126777576,126777976,401,*,X1147,ENSG00000251072,126751963,126776486,24524,-,1089,upstream,1089,LMNB1 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53089],chr5126777576126777976,1.77508685436776,-1.16041036154784
16,87394288,87394688,401,*,X1317,ENSG00000103264,87326987,87392142,65156,-,2145,upstream,2145,F-box protein 31 [Source:HGNC Symbol;Acc:HGNC:16510],chr168739428887394688,2.92082532175602,-0.728549081514976
1,155565924,155566324,401,*,X1342,ENSG00000116539,155335268,155563162,227895,-,2761,upstream,2761,ASH1 like histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:19088],chr1155565924155566324,2.46272590828015,-0.581088142967115
6,154832638,154833038,401,*,X1488,ENSG00000146426,154832697,155257723,425027,+,0,overlapStart,0,TIAM Rac1 associated GEF 2 [Source:HGNC Symbol;Acc:HGNC:11806],chr6154832638154833038,2.14835490808222,-0.831663691577222
2,5692259,5692659,401,*,X2002,ENSG00000176887,5692384,5701385,9002,+,0,overlapStart,0,SRY-box transcription factor 11 [Source:HGNC Symbol;Acc:HGNC:11191],chr256922595692659,2.07337101696173,-0.394608492864011
1,11691664,11692064,401,*,X2347,ENSG00000116670,11674480,11691650,17171,-,13,upstream,13,mitotic arrest deficient 2 like 2 [Source:HGNC Symbol;Acc:HGNC:6764],chr11169166411692064,1.98201359953103,-0.769749356915643
15,48645804,48646204,401,*,X2663,ENSG00000166147,48408313,48645721,237409,-,82,upstream,82,fibrillin 1 [Source:HGNC Symbol;Acc:HGNC:3603],chr154864580448646204,2.27716444510662,-0.818874154426121
7,7637788,7638188,401,*,X2708,ENSG00000219545,7640711,7968020,327310,+,2522,upstream,2522,UBAP1-MVB12-associated (UMA) domain containing 1 [Source:HGNC Symbol;Acc:HGNC:48955],chr776377887638188,1.96773193231015,-0.318886361878666
22,19754976,19755376,401,*,X3165,ENSG00000184058,19756703,19783593,26891,+,1326,upstream,1326,T-box transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:11592],chr221975497619755376,1.5368888353452,-1.20313265574893
20,64049410,64049810,401,*,X3383,ENSG00000171703,64049836,64072347,22512,+,25,upstream,25,transcription elongation factor A2 [Source:HGNC Symbol;Acc:HGNC:11614],chr206404941064049810,1.75144292207437,-0.986701159387762
9,109498401,109498801,401,*,X3441,ENSG00000070159,109375466,109498313,122848,-,87,upstream,87,protein tyrosine phosphatase non-receptor type 3 [Source:HGNC Symbol;Acc:HGNC:9655],chr9109498401109498801,2.04680013555469,-2.33092805360656
1,7953948,7954348,401,*,X3467,ENSG00000116288,7954291,7985505,31215,+,0,overlapStart,0,Parkinsonism associated deglycase [Source:HGNC Symbol;Acc:HGNC:16369],chr179539487954348,1.86290846285289,-0.733385894384073
18,76820962,76821362,401,*,X3487,ENSG00000130856,76822557,76972901,150345,+,1194,upstream,1194,zinc finger protein 236 [Source:HGNC Symbol;Acc:HGNC:13028],chr187682096276821362,1.77906545901348,-1.05877196833163
8,738016,738416,401,*,X3695,ENSG00000104714,614746,738106,123361,-,0,overlapStart,0,glutamate rich 1 [Source:HGNC Symbol;Acc:HGNC:27234],chr8738016738416,1.35378803562276,-1.27403541771414
